
PY          passxception:-fixed:+4}"}  "
FILE: /home/david/NGR/telemetry/runs/9950011_20260914_143544.log
TIME      MM   PWM   FIXED  SHADOW  DIFF
14:46:16   40    0   1949    1936   -13
14:46:17   40    0   1949    1936   -13
14:46:18   40    0   1949    1936   -13
14:46:19   40    0   1949    1936   -13
14:46:20   40    0   1949    1936   -13
14:46:21   40    0   1949    1936   -13
14:46:22   40    0   1949    1936   -13
14:46:23   40    0   1949    1936   -13
14:46:24   40    0   1949    1936   -13
14:46:25   40    0   1949    1936   -13
14:46:26   40    0   1949    1936   -13
14:46:27   40    0   1949    1936   -13
14:46:28   40    0   1949    1936   -13
14:46:29   40    0   1949    1936   -13
14:46:30   40    0   1949    1936   -13
14:46:31   40    0   1949    1936   -13
14:46:32   40    0   1949    1936   -13
14:46:33   40    0   1949    1936   -13
14:46:34   40    0   1949    1936   -13
14:46:35   40    0   1949    1936   -13
14:46:36   40    0   1949    1936   -13
14:46:37   40    0   1949    1936   -13
14:46:38   40    0   1949    1936   -13
14:46:39   40    0   1949    1936   -13
14:46:40   40    0   1949    1936   -13
14:46:41   40    0   1949    1936   -13
14:46:42   40    0   1949    1936   -13
14:46:43   40    0   1949    1936   -13
14:46:44   40    0   1949    1936   -13
14:46:45   40    0   1949    1936   -13
14:46:46   40    0   1949    1936   -13
14:46:47   40    0   1949    1936   -13
14:46:48   40    0   1949    1936   -13
14:46:49   40    0   1949    1936   -13
14:46:50   40    0   1949    1936   -13
14:46:51   40    0   1949    1936   -13
14:46:52   40    0   1949    1936   -13
14:46:53   40    0   1949    1936   -13
14:46:54   40    0   1949    1936   -13
14:46:55   40    0   1949    1936   -13
14:46:56   40    0   1949    1936   -13
14:46:57   40    0   1949    1936   -13
14:46:58   40    0   1949    1936   -13
14:46:59   40    0   1949    1936   -13
14:47:00   40    0   1949    1936   -13
14:47:01   40    0   1949    1936   -13
14:47:02   40    0   1949    1936   -13
14:47:03   40    0   1949    1936   -13
14:47:04   40    0   1949    1936   -13
14:47:05   40    0   1949    1936   -13
14:47:06   40    0   1949    1936   -13
14:47:07   40    0   1949    1936   -13
14:47:08   40    0   1949    1936   -13
14:47:09   40    0   1949    1936   -13
14:47:10   40    0   1949    1936   -13
14:47:11   40    0   1949    1936   -13
14:47:12   40    0   1949    1936   -13
14:47:13   40    0   1949    1936   -13
14:47:14   40    0   1949    1936   -13
14:47:15   40    0   1949    1936   -13
14:47:16   40    0   1949    1936   -13
14:47:17   40    0   1949    1936   -13
